home_team,away_team,tournament,city,country,neutral,year
Italy,France,Euro,Novara,Italy,False,1969
Denmark,England,Euro,Aosta,Italy,True,1969
England,France,Euro,Turin,Italy,True,1969
Italy,Denmark,Euro,Turin,Italy,False,1969
Thailand,Australia,AFC Championship,Hong Kong,Hong Kong,True,1975
Hong Kong,New Zealand,AFC Championship,Hong Kong,Hong Kong,False,1975
Thailand,Singapore,AFC Championship,Hong Kong,Hong Kong,True,1975
New Zealand,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
Australia,Singapore,AFC Championship,Hong Kong,Hong Kong,True,1975
Hong Kong,Malaysia,AFC Championship,Hong Kong,Hong Kong,False,1975
New Zealand,Australia,AFC Championship,Hong Kong,Hong Kong,True,1975
Thailand,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
Australia,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1975
New Zealand,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1975
Taiwan,Indonesia,AFC Championship,Taipei,Taiwan,False,1977
Thailand,Singapore,AFC Championship,Taipei,Taiwan,True,1977
Indonesia,Japan,AFC Championship,Taipei,Taiwan,True,1977
Thailand,Hong Kong,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Japan,AFC Championship,Taipei,Taiwan,False,1977
Singapore,Hong Kong,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Singapore,AFC Championship,Taipei,Taiwan,False,1977
Thailand,Indonesia,AFC Championship,Taipei,Taiwan,True,1977
Singapore,Indonesia,AFC Championship,Taipei,Taiwan,True,1977
Taiwan,Thailand,AFC Championship,Taipei,Taiwan,False,1977
Italy,Northern Ireland,Euro,Naples,Italy,False,1979
Denmark,France,Euro,Naples,Italy,True,1979
England,Finland,Euro,Sorrento,Italy,True,1979
Sweden,Wales,Euro,Rimini,Italy,True,1979
Northern Ireland,Norway,Euro,Naples,Italy,True,1979
France,Scotland,Euro,Rimini,Italy,True,1979
Switzerland,Finland,Euro,Scafati,Italy,True,1979
Wales,Netherlands,Euro,Rimini,Italy,True,1979
Italy,Norway,Euro,Benevento,Italy,False,1979
Denmark,Scotland,Euro,Riccione,Italy,True,1979
England,Switzerland,Euro,Sorrento,Italy,True,1979
Sweden,Netherlands,Euro,Rimini,Italy,True,1979
Italy,England,Euro,Naples,Italy,False,1979
Denmark,Sweden,Euro,Rimini,Italy,True,1979
Sweden,England,Euro,Naples,Italy,True,1979
Italy,Denmark,Euro,Naples,Italy,False,1979
India S,Western Australia,AFC Championship,Calicut,India,False,1980
India N,Taiwan,AFC Championship,Calicut,India,False,1980
India S,Hong Kong,AFC Championship,Calicut,India,False,1980
Taiwan,Malaysia,AFC Championship,Calicut,India,True,1980
India N,Western Australia,AFC Championship,Calicut,India,False,1980
Western Australia,Malaysia,AFC Championship,Calicut,India,True,1980
India N,Hong Kong,AFC Championship,Calicut,India,False,1980
India S,Taiwan,AFC Championship,Calicut,India,False,1980
Hong Kong,Malaysia,AFC Championship,Calicut,India,True,1980
India S,India N,AFC Championship,Calicut,India,False,1980
Taiwan,Western Australia,AFC Championship,Calicut,India,True,1980
Taiwan,Hong Kong,AFC Championship,Calicut,India,True,1980
India N,Malaysia,AFC Championship,Calicut,India,False,1980
Hong Kong,Western Australia,AFC Championship,Calicut,India,True,1980
India S,Malaysia,AFC Championship,Calicut,India,False,1980
Taiwan,Western Australia,AFC Championship,Calicut,India,True,1980
India S,Hong Kong,AFC Championship,Calicut,India,False,1980
India S,Taiwan,AFC Championship,Calicut,India,False,1980
Hong Kong,Philippines,AFC Championship,Hong Kong,Hong Kong,False,1981
Taiwan,Japan,AFC Championship,Hong Kong,Hong Kong,True,1981
India,Singapore,AFC Championship,Hong Kong,Hong Kong,True,1981
Thailand,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1981
Hong Kong,Singapore,AFC Championship,Hong Kong,Hong Kong,False,1981
India,Philippines,AFC Championship,Hong Kong,Hong Kong,True,1981
Taiwan,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1981
Thailand,Japan,AFC Championship,Hong Kong,Hong Kong,True,1981
Hong Kong,India,AFC Championship,Hong Kong,Hong Kong,False,1981
Singapore,Philippines,AFC Championship,Hong Kong,Hong Kong,True,1981
Taiwan,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1981
Japan,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1981
Thailand,India,AFC Championship,Hong Kong,Hong Kong,True,1981
Hong Kong,Taiwan,AFC Championship,Hong Kong,Hong Kong,False,1981
Hong Kong,India,AFC Championship,Hong Kong,Hong Kong,False,1981
Thailand,Taiwan,AFC Championship,Hong Kong,Hong Kong,True,1981
Finland,Sweden,UEFA Euro qualification,Vammala,Finland,False,1982
Norway,Iceland,UEFA Euro qualification,Tønsberg,Norway,False,1982
Northern Ireland,Scotland,UEFA Euro qualification,Belfast,Northern Ireland,False,1982
Iceland,Sweden,UEFA Euro qualification,Kópavogur,Iceland,False,1982
Finland,Norway,UEFA Euro qualification,Kotka,Finland,False,1982
England,Northern Ireland,UEFA Euro qualification,Crewe,England,False,1982
Scotland,Republic of Ireland,UEFA Euro qualification,Dunfermline,Scotland,False,1982
Belgium,Netherlands,UEFA Euro qualification,Brussels,Belgium,False,1982
Sweden,Norway,UEFA Euro qualification,Tyresö,Sweden,False,1982
Northern Ireland,Republic of Ireland,UEFA Euro qualification,Bangor,Northern Ireland,False,1982
Scotland,England,UEFA Euro qualification,Dumbarton,Scotland,False,1982
Switzerland,Portugal,UEFA Euro qualification,Solothurn,Switzerland,False,1982
Netherlands,Denmark,UEFA Euro qualification,Groningen,Netherlands,False,1982
France,Italy,UEFA Euro qualification,Valence,France,False,1982
Denmark,Belgium,UEFA Euro qualification,Tårnby,Denmark,False,1982
Republic of Ireland,England,UEFA Euro qualification,Dublin,Republic of Ireland,False,1982
Italy,Portugal,UEFA Euro qualification,Genoa,Italy,False,1982
Portugal,France,UEFA Euro qualification,Lisbon,Portugal,False,1982
France,Portugal,UEFA Euro qualification,Pauillac,France,False,1983
Germany,Belgium,UEFA Euro qualification,Bergisch Gladbach,Germany,False,1983
Republic of Ireland,Scotland,UEFA Euro qualification,Dublin,Republic of Ireland,False,1983
Netherlands,Germany,UEFA Euro qualification,Venray,Netherlands,False,1983
Portugal,Switzerland,UEFA Euro qualification,Coimbra,Portugal,False,1983
Thailand,Malaysia,AFC Championship,Bangkok,Thailand,False,1983
India,Philippines,AFC Championship,Bangkok,Thailand,True,1983
Singapore,Hong Kong,AFC Championship,Bangkok,Thailand,True,1983
Thailand,Singapore,AFC Championship,Bangkok,Thailand,False,1983
India,Hong Kong,AFC Championship,Bangkok,Thailand,True,1983
Malaysia,Philippines,AFC Championship,Bangkok,Thailand,True,1983
Singapore,Philippines,AFC Championship,Bangkok,Thailand,True,1983
Thailand,Hong Kong,AFC Championship,Bangkok,Thailand,False,1983
India,Malaysia,AFC Championship,Bangkok,Thailand,True,1983
Singapore,Malaysia,AFC Championship,Bangkok,Thailand,True,1983
Philippines,Hong Kong,AFC Championship,Bangkok,Thailand,True,1983
Thailand,India,AFC Championship,Bangkok,Thailand,False,1983
Thailand,Philippines,AFC Championship,Bangkok,Thailand,False,1983
Malaysia,Hong Kong,AFC Championship,Bangkok,Thailand,True,1983
India,Singapore,AFC Championship,Bangkok,Thailand,True,1983
Scotland,Northern Ireland,UEFA Euro qualification,Glasgow,Scotland,False,1983
Malaysia,Singapore,AFC Championship,Bangkok,Thailand,True,1983
Thailand,India,AFC Championship,Bangkok,Thailand,False,1983
Netherlands,Belgium,UEFA Euro qualification,Oosterhout,Netherlands,False,1983
Italy,France,UEFA Euro qualification,Vicenza,Italy,False,1983
Germany,Denmark,UEFA Euro qualification,Delmenhorst,Germany,False,1983
France,Switzerland,UEFA Euro qualification,Meaux,France,False,1983
Northern Ireland,England,UEFA Euro qualification,Belfast,Northern Ireland,False,1983
England,Scotland,UEFA Euro qualification,Leeds,England,False,1983
Switzerland,Italy,UEFA Euro qualification,Lugano,Switzerland,False,1983
Sweden,Finland,UEFA Euro qualification,Sollefteå,Sweden,False,1983
Portugal,Italy,UEFA Euro qualification,Porto,Portugal,False,1983
Iceland,Norway,UEFA Euro qualification,Kópavogur,Iceland,False,1983
Norway,Finland,UEFA Euro qualification,Lillestrøm,Norway,False,1983
Belgium,Denmark,UEFA Euro qualification,Brussels,Belgium,False,1983
Iceland,Finland,UEFA Euro qualification,Kópavogur,Iceland,False,1983
Sweden,Iceland,UEFA Euro qualification,Ronneby,Sweden,False,1983
Finland,Iceland,UEFA Euro qualification,Porvoo,Finland,False,1983
England,Republic of Ireland,UEFA Euro qualification,Reading,England,False,1983
Italy,Switzerland,UEFA Euro qualification,Rome,Italy,False,1983
Norway,Sweden,UEFA Euro qualification,Elverum,Norway,False,1983
Denmark,Germany,UEFA Euro qualification,Sønderborg,Denmark,False,1983
Germany,Netherlands,UEFA Euro qualification,Siegen,Germany,False,1983
Belgium,Germany,UEFA Euro qualification,Brussels,Belgium,False,1983
Republic of Ireland,Northern Ireland,UEFA Euro qualification,Dublin,Republic of Ireland,False,1983
Switzerland,France,UEFA Euro qualification,Burgdorf,Switzerland,False,1983
Denmark,Netherlands,UEFA Euro qualification,Sønderborg,Denmark,False,1983
New Caledonia,Fiji,OFC Championship,Nouméa,New Caledonia,False,1983
New Zealand,Australia,OFC Championship,Nouméa,New Caledonia,True,1983
New Caledonia,Australia,OFC Championship,Nouméa,New Caledonia,False,1983
New Zealand,Fiji,OFC Championship,Nouméa,New Caledonia,True,1983
Australia,Fiji,OFC Championship,Nouméa,New Caledonia,True,1983
New Caledonia,New Zealand,OFC Championship,Nouméa,New Caledonia,False,1983
New Zealand,Australia,OFC Championship,Nouméa,New Caledonia,True,1983
England,Denmark,UEFA Euro,Crewe,England,False,1984
Italy,Sweden,UEFA Euro,Rome,Italy,False,1984
Denmark,England,UEFA Euro,Hjørring,Denmark,False,1984
Sweden,Italy,UEFA Euro,Linköping,Sweden,False,1984
Sweden,England,UEFA Euro,Gothenburg,Sweden,False,1984
England,Sweden,UEFA Euro,Luton,England,False,1984
Finland,Norway,UEFA Euro qualification,Tuusula,Finland,False,1984
Germany,Finland,UEFA Euro qualification,Lüdenscheid,Germany,False,1984
Denmark,Finland,UEFA Euro qualification,Odense,Denmark,False,1984
Netherlands,France,UEFA Euro qualification,Leeuwarden,Netherlands,False,1985
England,Scotland,UEFA Euro qualification,England,England,False,1985
Hungary,Spain,UEFA Euro qualification,Hungary,Hungary,False,1985
Denmark,Germany,UEFA Euro qualification,Sønderborg,Denmark,False,1985
Belgium,France,UEFA Euro qualification,Zaventem,Belgium,False,1985
Republic of Ireland,Northern Ireland,UEFA Euro qualification,Republic of Ireland,Republic of Ireland,False,1985
Finland,Denmark,UEFA Euro qualification,Kotka,Finland,False,1985
Northern Ireland,England,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1985
France,Sweden,UEFA Euro qualification,Pauillac,France,False,1985
Hungary,Italy,UEFA Euro qualification,Gyöngyös,Hungary,False,1985
Scotland,Republic of Ireland,UEFA Euro qualification,Scotland,Scotland,False,1985
Sweden,Netherlands,UEFA Euro qualification,Helsingborg,Sweden,False,1985
Spain,Switzerland,UEFA Euro qualification,Cuenca,Spain,False,1985
Germany,Norway,UEFA Euro qualification,Lüneburg,Germany,False,1985
Italy,Switzerland,UEFA Euro qualification,Padova,Italy,False,1985
Republic of Ireland,England,UEFA Euro qualification,Cork,Republic of Ireland,False,1985
Belgium,Netherlands,UEFA Euro qualification,Zaventem,Belgium,False,1985
Norway,Denmark,UEFA Euro qualification,Oslo,Norway,False,1985
Finland,Germany,UEFA Euro qualification,Turku,Finland,False,1985
Sweden,Belgium,UEFA Euro qualification,Jönköping,Sweden,False,1985
Switzerland,Hungary,UEFA Euro qualification,Renens,Switzerland,False,1985
France,Netherlands,UEFA Euro qualification,Cambrai,France,False,1985
Spain,Italy,UEFA Euro qualification,Palma,Spain,False,1985
Northern Ireland,Scotland,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1985
France,Belgium,UEFA Euro qualification,Niederbronn,France,False,1986
England,Northern Ireland,UEFA Euro qualification,England,England,False,1986
New Zealand,Australia,OFC Championship,Christchurch,New Zealand,False,1986
Taiwan,Australia,OFC Championship,Christchurch,New Zealand,True,1986
New Zealand,Taiwan,OFC Championship,Christchurch,New Zealand,False,1986
Taiwan,Australia,OFC Championship,Christchurch,New Zealand,True,1986
Spain,Hungary,UEFA Euro qualification,Spain,Spain,False,1986
England,Republic of Ireland,UEFA Euro qualification,Reading,England,False,1986
Italy,Hungary,UEFA Euro qualification,Potenza,Italy,False,1986
Sweden,France,UEFA Euro qualification,Karlskoga,Sweden,False,1986
Norway,Germany,UEFA Euro qualification,Oslo,Norway,False,1986
Scotland,Northern Ireland,UEFA Euro qualification,Scotland,Scotland,False,1986
Switzerland,Spain,UEFA Euro qualification,Solothurn,Switzerland,False,1986
Northern Ireland,Republic of Ireland,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1986
Denmark,Norway,UEFA Euro qualification,Vejle,Denmark,False,1986
Netherlands,Belgium,UEFA Euro qualification,Oosterhout,Netherlands,False,1986
Republic of Ireland,Scotland,UEFA Euro qualification,Republic of Ireland,Republic of Ireland,False,1986
Belgium,Sweden,UEFA Euro qualification,Aalst,Belgium,False,1986
Germany,Denmark,UEFA Euro qualification,Bergisch Gladbach,Germany,False,1986
Norway,Finland,UEFA Euro qualification,Oslo,Norway,False,1986
Hungary,Switzerland,UEFA Euro qualification,Eger,Hungary,False,1986
Italy,Spain,UEFA Euro qualification,Modena,Italy,False,1986
Scotland,England,UEFA Euro qualification,Scotland,Scotland,False,1986
Netherlands,Sweden,UEFA Euro qualification,Hoogeveen,Netherlands,False,1986
Switzerland,Italy,UEFA Euro qualification,Basel,Switzerland,False,1986
China PR,Japan,AFC Championship,Hong Kong,Hong Kong,True,1986
Hong Kong,Nepal,AFC Championship,Hong Kong,Hong Kong,False,1986
Thailand,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1986
China PR,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1986
Thailand,Nepal,AFC Championship,Hong Kong,Hong Kong,True,1986
Hong Kong,Indonesia,AFC Championship,Hong Kong,Hong Kong,False,1986
Japan,Malaysia,AFC Championship,Hong Kong,Hong Kong,True,1986
Indonesia,Nepal,AFC Championship,Hong Kong,Hong Kong,True,1986
Hong Kong,Thailand,AFC Championship,Hong Kong,Hong Kong,False,1986
China PR,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1986
Thailand,Japan,AFC Championship,Hong Kong,Hong Kong,True,1986
Thailand,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1986
China PR,Japan,AFC Championship,Hong Kong,Hong Kong,True,1986
Norway,Italy,UEFA Euro,Oslo,Norway,False,1987
Sweden,England,UEFA Euro,Moss,Norway,True,1987
Italy,England,UEFA Euro,Drammen,Norway,True,1987
Norway,Sweden,UEFA Euro,Oslo,Norway,False,1987
Finland,Norway,UEFA Euro qualification,Kerava,Finland,False,1987
Sweden,Netherlands,UEFA Euro qualification,Linköping,Sweden,False,1987
Norway,Denmark,UEFA Euro qualification,Oslo,Norway,False,1987
Hungary,Germany,UEFA Euro qualification,Budapest,Hungary,False,1987
Bulgaria,Spain,UEFA Euro qualification,Sofia,Bulgaria,False,1987
Belgium,Czechoslovakia,UEFA Euro qualification,Aalst,Belgium,False,1987
Belgium,France,UEFA Euro qualification,Mouscron,Belgium,False,1987
Finland,England,UEFA Euro qualification,Finland,Finland,False,1987
Netherlands,Scotland,UEFA Euro qualification,Nuth,Netherlands,False,1987
England,Denmark,UEFA Euro qualification,Blackburn,England,False,1987
Czechoslovakia,Spain,UEFA Euro qualification,Czechoslovakia,Czechoslovakia,False,1987
Hungary,Switzerland,UEFA Euro qualification,Szolnok,Hungary,False,1987
Germany,Italy,UEFA Euro qualification,Burghausen,Germany,False,1987
France,Bulgaria,UEFA Euro qualification,Lucé,France,False,1987
Republic of Ireland,Netherlands,UEFA Euro qualification,Dublin,Republic of Ireland,False,1987
Spain,Belgium,UEFA Euro qualification,Aranjuez,Spain,False,1987
Spain,France,UEFA Euro qualification,Palma del Río,Spain,False,1988
Netherlands,Republic of Ireland,UEFA Euro qualification,Delft,Netherlands,False,1988
Spain,Bulgaria,UEFA Euro qualification,Torrent,Spain,False,1988
Italy,Germany,UEFA Euro qualification,Andria,Italy,False,1988
Czechoslovakia,Belgium,UEFA Euro qualification,Hodonín,Czechoslovakia,False,1988
Republic of Ireland,Scotland,UEFA Euro qualification,Dublin,Republic of Ireland,False,1988
Bulgaria,Belgium,UEFA Euro qualification,Sofia,Bulgaria,False,1988
France,Spain,UEFA Euro qualification,Castelsarrasin,France,False,1988
Bulgaria,Czechoslovakia,UEFA Euro qualification,Stanke Dimitrov,Bulgaria,False,1988
Italy,Hungary,UEFA Euro qualification,San Benedetto del Tronto,Italy,False,1988
Republic of Ireland,Sweden,UEFA Euro qualification,Dublin,Republic of Ireland,False,1988
France,Czechoslovakia,UEFA Euro qualification,Thonon,France,False,1988
Denmark,England,UEFA Euro qualification,Herning,Denmark,False,1988
Germany,Switzerland,UEFA Euro qualification,Pforzheim,Germany,False,1988
Spain,Czechoslovakia,UEFA Euro qualification,Figueres,Spain,False,1988
France,Belgium,UEFA Euro qualification,Loison-sous-Lens,France,False,1988
Norway,Finland,UEFA Euro qualification,Nesbyen,Norway,False,1988
Denmark,Finland,UEFA Euro qualification,Copenhagen,Denmark,False,1988
Switzerland,Hungary,UEFA Euro qualification,Zürich,Switzerland,False,1988
Italy,Switzerland,UEFA Euro qualification,Levanto,Italy,False,1988
Norway,England,UEFA Euro qualification,Klepp,Norway,False,1988
Finland,Denmark,UEFA Euro qualification,Vantaa,Finland,False,1988
England,Finland,UEFA Euro qualification,England,England,False,1988
Denmark,Norway,UEFA Euro qualification,Aalborg,Denmark,False,1988
Switzerland,Germany,UEFA Euro qualification,Binningen,Switzerland,False,1988
England,Norway,UEFA Euro qualification,Blackburn,England,False,1988
Sweden,Republic of Ireland,UEFA Euro qualification,Mariestad,Sweden,False,1988
Netherlands,Sweden,UEFA Euro qualification,Valkenswaard,Netherlands,False,1988
Belgium,Bulgaria,UEFA Euro qualification,Tienen,Belgium,False,1988
Hungary,Italy,UEFA Euro qualification,Baja,Hungary,False,1988
Czechoslovakia,France,UEFA Euro qualification,Frýdek-Místek,Czechoslovakia,False,1988
Denmark,Sweden,UEFA Euro qualification,Odense,Denmark,False,1988
Norway,Netherlands,UEFA Euro qualification,Horten,Norway,False,1988
Czechoslovakia,Bulgaria,UEFA Euro qualification,Czechoslovakia,Czechoslovakia,False,1988
Sweden,Denmark,UEFA Euro qualification,Borås,Sweden,False,1988
Belgium,Spain,UEFA Euro qualification,Antwerp,Belgium,False,1988
Switzerland,Italy,UEFA Euro qualification,Caslano,Switzerland,False,1988
Germany,Hungary,UEFA Euro qualification,Passau,Germany,False,1988
Netherlands,Norway,UEFA Euro qualification,Rijsoord,Netherlands,False,1988
Bulgaria,France,UEFA Euro qualification,Sofia,Bulgaria,False,1988
Czechoslovakia,Germany,UEFA Euro qualification,Bratislava,Czechoslovakia,False,1988
Italy,France,UEFA Euro qualification,Reggio Emilia,Italy,False,1988
France,Italy,UEFA Euro qualification,Vallauris,France,False,1988
Germany,Czechoslovakia,UEFA Euro qualification,Kaiserslautern,Germany,False,1988
Australia,New Zealand,OFC Championship,Brisbane,Australia,False,1989
Taiwan,Papua New Guinea,OFC Championship,Brisbane,Australia,True,1989
New Zealand,Taiwan,OFC Championship,Brisbane,Australia,True,1989
Australia,Papua New Guinea,OFC Championship,Brisbane,Australia,False,1989
New Zealand,Papua New Guinea,OFC Championship,Brisbane,Australia,True,1989
Australia,Taiwan,OFC Championship,Brisbane,Australia,False,1989
Taiwan,New Zealand,OFC Championship,Brisbane,Australia,True,1989
Germany,Italy,UEFA Euro,Siegen,Germany,False,1989
Sweden,Norway,UEFA Euro,Lüdenscheid,Germany,True,1989
Sweden,Italy,UEFA Euro,Osnabrück,Germany,True,1989
Germany,Norway,UEFA Euro,Osnabrück,Germany,False,1989
Finland,Norway,UEFA Euro qualification,Varkaus,Finland,False,1989
England,Finland,UEFA Euro qualification,Brentford,England,False,1989
Germany,Hungary,UEFA Euro qualification,Straubing,Germany,False,1989
Czechoslovakia,Bulgaria,UEFA Euro qualification,Czechoslovakia,Czechoslovakia,False,1989
Switzerland,Denmark,UEFA Euro qualification,Bern,Switzerland,False,1989
Poland,France,UEFA Euro qualification,Knurów,Poland,False,1989
Norway,Belgium,UEFA Euro qualification,Kongsvinger,Norway,False,1989
Sweden,Poland,UEFA Euro qualification,Helsingborg,Sweden,False,1989
Bulgaria,Hungary,UEFA Euro qualification,Bulgaria,Bulgaria,False,1989
Spain,Switzerland,UEFA Euro qualification,Benicàssim,Spain,False,1989
Netherlands,Republic of Ireland,UEFA Euro qualification,Koog aan de Zaan,Netherlands,False,1989
Germany,Czechoslovakia,UEFA Euro qualification,Marburg,Germany,False,1989
Spain,Denmark,UEFA Euro qualification,Antequera,Spain,False,1989
Italy,Switzerland,UEFA Euro qualification,Reggio Emilia,Italy,False,1989
Northern Ireland,Republic of Ireland,UEFA Euro qualification,Bangor,Northern Ireland,False,1989
China PR,Taiwan,AFC Championship,Hong Kong,Hong Kong,True,1989
Hong Kong,Nepal,AFC Championship,Hong Kong,Hong Kong,False,1989
Japan,Indonesia,AFC Championship,Hong Kong,Hong Kong,True,1989
China PR,North Korea,AFC Championship,Hong Kong,Hong Kong,True,1989
Taiwan,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1989
Indonesia,Nepal,AFC Championship,Hong Kong,Hong Kong,True,1989
Hong Kong,Japan,AFC Championship,Hong Kong,Hong Kong,False,1989
China PR,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1989
Taiwan,North Korea,AFC Championship,Hong Kong,Hong Kong,True,1989
North Korea,Thailand,AFC Championship,Hong Kong,Hong Kong,True,1989
Japan,Nepal,AFC Championship,Hong Kong,Hong Kong,True,1989
Hong Kong,Indonesia,AFC Championship,Hong Kong,Hong Kong,False,1989
Hong Kong,China PR,AFC Championship,Hong Kong,Hong Kong,False,1989
Japan,Taiwan,AFC Championship,Hong Kong,Hong Kong,True,1989
Hong Kong,Japan,AFC Championship,Hong Kong,Hong Kong,False,1989
China PR,Taiwan,AFC Championship,Hong Kong,Hong Kong,True,1989
Italy,Spain,UEFA Euro qualification,Portici,Italy,False,1990
Belgium,England,UEFA Euro qualification,Ypres,Belgium,False,1990
Northern Ireland,Netherlands,UEFA Euro qualification,Belfast,Northern Ireland,False,1990
England,Belgium,UEFA Euro qualification,Sheffield,England,False,1990
Switzerland,Italy,UEFA Euro qualification,Lugano,Switzerland,False,1990
Bulgaria,Germany,UEFA Euro qualification,Sofia,Bulgaria,False,1990
Denmark,Italy,UEFA Euro qualification,Vejle,Denmark,False,1990
Republic of Ireland,Netherlands,UEFA Euro qualification,Dublin,Republic of Ireland,False,1990
Czechoslovakia,Germany,UEFA Euro qualification,Frýdek-Místek,Czechoslovakia,False,1990
Switzerland,Spain,UEFA Euro qualification,Binningen,Switzerland,False,1990
Finland,Belgium,UEFA Euro qualification,Espoo,Finland,False,1990
France,Sweden,UEFA Euro qualification,Melun,France,False,1990
Denmark,Switzerland,UEFA Euro qualification,Vejle,Denmark,False,1990
Hungary,Czechoslovakia,UEFA Euro qualification,Hungary,Hungary,False,1990
Norway,England,UEFA Euro qualification,Klepp,Norway,False,1990
Hungary,Bulgaria,UEFA Euro qualification,Hungary,Hungary,False,1990
Poland,Sweden,UEFA Euro qualification,Gorzów,Poland,False,1990
Norway,Finland,UEFA Euro qualification,Porsgrunn,Norway,False,1990
Denmark,Spain,UEFA Euro qualification,Vejle,Denmark,False,1990
England,Norway,UEFA Euro qualification,Manchester,England,False,1990
Netherlands,Northern Ireland,UEFA Euro qualification,Kaatsheuvel,Netherlands,False,1990
Germany,Bulgaria,UEFA Euro qualification,Düsseldorf,Germany,False,1990
Belgium,Norway,UEFA Euro qualification,Kapellen,Belgium,False,1990
France,Poland,UEFA Euro qualification,Metz,France,False,1990
Finland,England,UEFA Euro qualification,Tampere,Finland,False,1990
Czechoslovakia,Hungary,UEFA Euro qualification,Czechoslovakia,Czechoslovakia,False,1990
Italy,Denmark,UEFA Euro qualification,Oristano,Italy,False,1990
Republic of Ireland,Northern Ireland,UEFA Euro qualification,Dublin,Republic of Ireland,False,1990
Belgium,Finland,UEFA Euro qualification,Brussels,Belgium,False,1990
Sweden,France,UEFA Euro qualification,Mariestad,Sweden,False,1990
Hungary,Germany,UEFA Euro qualification,Sopron,Hungary,False,1990
Bulgaria,Czechoslovakia,UEFA Euro qualification,Bulgaria,Bulgaria,False,1990
Spain,Italy,UEFA Euro qualification,Cartagena,Spain,False,1990
Norway,Hungary,UEFA Euro qualification,Kristiansand,Norway,False,1990
Sweden,Italy,UEFA Euro qualification,Malmö,Sweden,False,1990
Denmark,Netherlands,UEFA Euro qualification,Vejle,Denmark,False,1990
England,Germany,UEFA Euro qualification,Wycombe,England,False,1990
Hungary,Norway,UEFA Euro qualification,Budapest,Hungary,False,1990
Italy,Sweden,UEFA Euro qualification,Castellammare di Stabia,Italy,False,1990
Netherlands,Denmark,UEFA Euro qualification,Denekamp,Netherlands,False,1990
Germany,England,UEFA Euro qualification,Bochum,Germany,False,1990
Nigeria,Ghana,African Championship,Lagos,Nigeria,False,1991
Ghana,Nigeria,African Championship,Accra,Ghana,False,1991
Canada,Costa Rica,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Haiti,Jamaica,CONCACAF Championship,Port-au-Prince,Haiti,False,1991
United States,Mexico,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Martinique,Trinidad and Tobago,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Canada,Jamaica,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Haiti,Costa Rica,CONCACAF Championship,Port-au-Prince,Haiti,False,1991
Trinidad and Tobago,Mexico,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
United States,Martinique,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Jamaica,Costa Rica,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Haiti,Canada,CONCACAF Championship,Port-au-Prince,Haiti,False,1991
Martinique,Mexico,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
United States,Trinidad and Tobago,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Canada,Trinidad and Tobago,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Haiti,United States,CONCACAF Championship,Port-au-Prince,Haiti,False,1991
Haiti,Trinidad and Tobago,CONCACAF Championship,Port-au-Prince,Haiti,False,1991
Brazil,Chile,Copa América,Maringá,Brazil,False,1991
Canada,United States,CONCACAF Championship,Port-au-Prince,Haiti,True,1991
Chile,Venezuela,Copa América,Maringá,Brazil,True,1991
Nigeria,Guinea,African Championship,Lagos,Nigeria,False,1991
Brazil,Venezuela,Copa América,Maringá,Brazil,False,1991
Guinea,Nigeria,African Championship,Conakry,Guinea,False,1991
New Zealand,Papua New Guinea,OFC Championship,Sydney,Australia,True,1991
Australia,New Zealand,OFC Championship,Sydney,Australia,False,1991
Australia,Papua New Guinea,OFC Championship,Sydney,Australia,False,1991
Papua New Guinea,New Zealand,OFC Championship,Sydney,Australia,True,1991
Australia,New Zealand,OFC Championship,Sydney,Australia,False,1991
Australia,Papua New Guinea,OFC Championship,Sydney,Australia,False,1991
Hong Kong,Singapore,AFC Championship,Fukuoka,Japan,True,1991
Japan,North Korea,AFC Championship,Fukuoka,Japan,False,1991
Japan,Hong Kong,AFC Championship,Fukuoka,Japan,False,1991
